iter	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
142	0.9844720051	0.7555986343	0.7238421955	0.7738693467	0.7503862902	0.8090009489	0.7288718929	0.7745746027	0.7628240485	0.756748513	0.7465357968	0.7259562411
143	0.9795240738	0.7581447833	0.7288557214	0.7766990291	0.75407991	0.8111413043	0.730134357	0.7771058923	0.7653808931	0.7589149649	0.7488834462	0.7273581949
144	0.9771478177	0.7598807939	0.731038779	0.777616044	0.7563850688	0.8116335961	0.7311580294	0.7806597124	0.7672103954	0.760713741	0.7495319026	0.7301736274
145	0.9749707331	0.7604015971	0.7322846909	0.7780830774	0.7556866049	0.813375017	0.7310150857	0.78156708	0.7658043989	0.7615419778	0.7498920086	0.7323722971
146	0.9706872648	0.7630345466	0.7346494637	0.782074098	0.7585335019	0.8139787871	0.7330258775	0.7823637132	0.7694440593	0.7654847055	0.753381295	0.735542357
147	0.9694332815	0.7638736184	0.7345861159	0.7822711097	0.7605000702	0.8144624167	0.7345212152	0.7842528573	0.7698489677	0.7658083194	0.7546356188	0.7357075914
148	0.9652686596	0.7667091025	0.7413953488	0.7826086957	0.7632986209	0.8172920065	0.7366128619	0.7877418444	0.7731558514	0.7689492146	0.7559258727	0.7381398252
149	0.9637959689	0.7674613738	0.7406487661	0.7850104991	0.7638360794	0.8171545269	0.7369901547	0.7878273178	0.7750346741	0.7686214775	0.7576105686	0.7403022278
150	0.9587707	0.7704415254	0.7461252325	0.787683379	0.7665446353	0.8181199837	0.7398696152	0.7894662325	0.7794486216	0.7723255105	0.7622880138	0.7411325451
151	0.9576496445	0.7713384642	0.7479876161	0.787693299	0.7673894678	0.8186147775	0.7404560594	0.7900325641	0.7805625174	0.7728865194	0.7640126473	0.742341782
152	0.9554704979	0.7728719403	0.7488400866	0.7885235332	0.7693173821	0.820310373	0.7412909836	0.7923566879	0.7831409097	0.7735935356	0.7650775416	0.7447803054
153	0.9543840812	0.773479544	0.7514290128	0.7890410959	0.7696423543	0.8203870264	0.7417659874	0.7930351076	0.7840845854	0.7724642096	0.7658718759	0.7457574342
